시군구,단지명,전용면적(평),계약년월,계약일,거래금액(만원),층,건축년도,구,동,유형,계약월,계약요일,평당금액
서울특별시 강남구 개포동,개포6차우성아파트1동~8동,24.23,202204,2022.4.12,220000,4,1987,강남구,개포동,중형,4,화,9079.65
서울특별시 강남구 개포동,개포6차우성아파트1동~8동,24.23,202204,2022.4.21,220000,2,1987,강남구,개포동,중형,4,목,9079.65
서울특별시 강남구 개포동,개포6차우성아파트1동~8동,24.23,202205,2022.5.27,216000,2,1987,강남구,개포동,중형,5,금,8914.57
서울특별시 강남구 개포동,개포래미안포레스트,31.01,202204,2022.4.1,369000,13,2020,강남구,개포동,대형,4,금,11899.39
서울특별시 강남구 개포동,개포래미안포레스트,41.23,202205,2022.5.2,420000,17,2020,강남구,개포동,대형,5,월,10186.76
서울특별시 강남구 개포동,개포래미안포레스트,18.16,202205,2022.5.12,203500,5,2020,강남구,개포동,소형,5,목,11205.95
서울특별시 강남구 개포동,개포래미안포레스트,18.16,202205,2022.5.26,210000,6,2020,강남구,개포동,소형,5,목,11563.88
서울특별시 강남구 개포동,개포래미안포레스트,18.16,202206,2022.6.17,195000,10,2020,강남구,개포동,소형,6,금,10737.89
서울특별시 강남구 개포동,개포래미안포레스트,25.71,202211,2022.11.25,240000,33,2020,강남구,개포동,중형,11,금,9334.89
서울특별시 강남구 개포동,개포래미안포레스트,25.72,202211,2022.11.29,240000,5,2020,강남구,개포동,중형,11,화,9331.26
서울특별시 강남구 개포동,개포자이,51.04,202202,2022.2.7,246000,2,2004,강남구,개포동,대형,2,월,4819.75
서울특별시 강남구 개포동,개포자이,51.61,202207,2022.7.27,303000,11,2004,강남구,개포동,대형,7,수,5870.96
서울특별시 강남구 개포동,개포주공6단지,25.22,202201,2022.1.15,280000,8,1983,강남구,개포동,중형,1,토,11102.3
서울특별시 강남구 개포동,개포주공6단지,22.13,202203,2022.3.18,270000,5,1983,강남구,개포동,중형,3,금,12200.63
서울특별시 강남구 개포동,개포주공6단지,25.22,202212,2022.12.17,190000,3,1983,강남구,개포동,중형,12,토,7533.7
서울특별시 강남구 개포동,개포주공7단지,16.2,202203,2022.3.17,211500,4,1983,강남구,개포동,소형,3,목,13055.56
서울특별시 강남구 개포동,개포주공7단지,22.2,202203,2022.3.18,265000,6,1983,강남구,개포동,중형,3,금,11936.94
서울특별시 강남구 개포동,경남1,37.36,202203,2022.3.8,343000,4,1984,강남구,개포동,대형,3,화,9180.94
서울특별시 강남구 개포동,경남2차,56.41,202204,2022.4.19,400000,8,1984,강남구,개포동,대형,4,화,7090.94
서울특별시 강남구 개포동,그린빌리지,59.97,202202,2022.2.11,180000,4,1996,강남구,개포동,대형,2,금,3001.5
서울특별시 강남구 개포동,디에이치아너힐즈,39.79,202202,2022.2.22,590000,8,2019,강남구,개포동,대형,2,화,14827.85
서울특별시 강남구 개포동,디에이치아너힐즈,23.08,202204,2022.4.8,305000,23,2019,강남구,개포동,중형,4,금,13214.9
서울특별시 강남구 개포동,디에이치아너힐즈,18.14,202205,2022.5.11,234500,28,2019,강남구,개포동,소형,5,수,12927.23
서울특별시 강남구 개포동,디에이치아너힐즈,18.11,202205,2022.5.14,227000,3,2019,강남구,개포동,소형,5,토,12534.51
서울특별시 강남구 개포동,디에이치아너힐즈,32.42,202209,2022.9.15,430000,27,2019,강남구,개포동,대형,9,목,13263.42
서울특별시 강남구 개포동,디에이치아너힐즈,25.56,202211,2022.11.26,250000,19,2019,강남구,개포동,중형,11,토,9780.91
서울특별시 강남구 개포동,디에이치아너힐즈,23.08,202212,2022.12.22,220000,24,2019,강남구,개포동,중형,12,목,9532.06
서울특별시 강남구 개포동,래미안블레스티지,25.74,202201,2022.1.15,300000,7,2019,강남구,개포동,중형,1,토,11655.01
서울특별시 강남구 개포동,래미안블레스티지,18.15,202204,2022.4.16,200000,1,2019,강남구,개포동,소형,4,토,11019.28
서울특별시 강남구 개포동,래미안블레스티지,18.17,202205,2022.5.27,228500,22,2019,강남구,개포동,소형,5,금,12575.67
서울특별시 강남구 개포동,래미안블레스티지,30.3,202206,2022.6.10,360000,32,2019,강남구,개포동,중대형,6,금,11881.19
서울특별시 강남구 개포동,래미안블레스티지,18.17,202206,2022.6.28,214000,5,2019,강남구,개포동,소형,6,화,11777.66
서울특별시 강남구 개포동,래미안블레스티지,18.15,202207,2022.7.11,210000,7,2019,강남구,개포동,소형,7,월,11570.25
서울특별시 강남구 개포동,래미안블레스티지,30.3,202207,2022.7.11,373000,31,2019,강남구,개포동,중대형,7,월,12310.23
서울특별시 강남구 개포동,래미안블레스티지,18.17,202210,2022.10.8,185000,7,2019,강남구,개포동,소형,10,토,10181.62
서울특별시 강남구 개포동,래미안블레스티지,25.74,202212,2022.12.5,241000,8,2019,강남구,개포동,중형,12,월,9362.86
서울특별시 강남구 개포동,삼익대청아파트,15.49,202203,2022.3.26,157000,2,1992,강남구,개포동,소형,3,토,10135.57
서울특별시 강남구 개포동,삼익대청아파트,11.98,202208,2022.8.8,119000,12,1992,강남구,개포동,소형,8,월,9933.22
서울특별시 강남구 개포동,삼익대청아파트,18.18,202210,2022.10.18,122000,10,1992,강남구,개포동,소형,10,화,6710.67
서울특별시 강남구 개포동,삼익대청아파트,18.18,202211,2022.11.14,134000,7,1992,강남구,개포동,소형,11,월,7370.74
서울특별시 강남구 개포동,삼익대청아파트,15.49,202212,2022.12.16,100000,15,1992,강남구,개포동,소형,12,금,6455.78
서울특별시 강남구 개포동,새롬(1164-12),22.27,202207,2022.7.15,111500,6,2000,강남구,개포동,중형,7,금,5006.74
서울특별시 강남구 개포동,성원대치2단지아파트,10.05,202201,2022.1.8,125000,7,1992,강남구,개포동,소형,1,토,12437.81
서울특별시 강남구 개포동,성원대치2단지아파트,10.05,202201,2022.1.11,120000,5,1992,강남구,개포동,소형,1,화,11940.3
서울특별시 강남구 개포동,성원대치2단지아파트,10.05,202201,2022.1.25,120000,8,1992,강남구,개포동,소형,1,화,11940.3
서울특별시 강남구 개포동,성원대치2단지아파트,10.05,202203,2022.3.18,118000,7,1992,강남구,개포동,소형,3,금,11741.29
서울특별시 강남구 개포동,성원대치2단지아파트,10.05,202203,2022.3.27,120000,12,1992,강남구,개포동,소형,3,일,11940.3
서울특별시 강남구 개포동,성원대치2단지아파트,11.98,202204,2022.4.7,145000,8,1992,강남구,개포동,소형,4,목,12103.51
